SimulationTime(s),RTT(us),VehicleCount,PayloadSize(Bytes)
1,2696,1,102
2,551,1,104
3,367,1,104
4,435,2,206
5,362,2,208
6,386,2,208
7,627,3,310
8,444,3,312
9,371,3,314
10,504,4,413
11,482,4,415
12,417,4,417
13,701,5,518
14,669,5,518
15,488,5,520
16,579,6,623
17,599,6,625
18,527,6,626
19,673,7,727
20,495,7,727
21,505,7,747
22,600,8,833
23,686,8,832
24,549,8,850
25,635,9,931
26,721,9,935
27,618,9,953
28,793,10,1039
29,578,10,1040
30,571,10,1038
31,789,11,1142
32,916,11,1164
33,820,11,1145
34,761,12,1263
35,703,12,1246
36,704,12,1246
37,915,13,1368
38,698,13,1345
39,645,13,1352
40,829,14,1452
41,742,14,1455
42,998,14,1461
43,801,15,1562
44,692,15,1560
45,716,15,1560
46,878,16,1666
47,857,16,1681
48,721,16,1663
49,810,17,1785
50,788,17,1763
51,729,17,1767
52,921,18,1888
53,805,18,1863
54,741,18,1866
55,1075,19,1986
56,1077,19,1966
57,948,19,1988
58,1020,20,2069
59,901,20,2069
60,866,20,2092
61,1011,21,2172
62,862,21,2177
63,947,21,2189
64,1057,22,2276
65,975,22,2277
66,947,22,2288
67,1112,23,2375
68,966,23,2378
69,1086,23,2376
70,1060,24,2477
71,1268,24,2481
72,1210,24,2481
73,1121,25,2584
74,1273,25,2591
75,1126,25,2611
76,1224,26,2692
77,1172,26,2693
78,1309,26,2711
79,1352,27,2791
80,1151,27,2816
81,1163,27,2796
82,1453,28,2896
83,1207,28,2923
84,1465,28,2895
85,1486,29,3017
86,1346,29,3001
87,1224,29,3000
88,1436,30,3106
89,1827,30,3103
90,1322,30,3107
91,1490,31,3209
92,1350,31,3225
93,1304,31,3210
94,1421,32,3328
95,1330,32,3311
96,1478,32,3310
97,2104,33,3423
98,1507,33,3421
99,1476,33,3417
100,2128,34,3525
101,1869,34,3523
102,2009,34,3546
103,1657,35,3627
104,1592,35,3632
105,1437,35,3646
106,1559,36,3730
107,1919,36,3739
108,1585,36,3750
109,1661,37,3836
110,1581,37,3840
111,1555,37,3854
112,1814,38,3938
113,1896,38,3942
114,1625,38,3940
115,1894,39,4045
116,1583,39,4043
117,1617,39,4044
118,1978,40,4146
119,1961,40,4145
120,1709,40,4145
121,1752,41,4252
122,1963,41,4251
123,1777,41,4274
124,1965,42,4352
125,1993,42,4352
126,1937,42,4370
127,1992,43,4448
128,1954,43,4449
129,2227,43,4448
130,2059,44,4558
131,2243,44,4569
132,2125,44,4546
133,1991,45,4678
134,2192,45,4645
135,1906,45,4654
136,1987,46,4759
137,2176,46,4754
138,1876,46,4758
139,2290,47,4859
140,2089,47,4876
141,2451,47,4859
142,2180,48,4981
143,2662,48,4961
144,2121,48,4963
145,2176,49,5084
146,2757,49,5068
147,2208,49,5078
148,2373,50,5189
149,2299,50,5182
150,2963,50,5174
151,2564,51,5333
152,4886,51,5341
153,2718,51,5274
154,5629,52,5445
155,3975,52,5428
156,8085,52,5379
157,5033,53,5536
158,6800,53,5533
159,6380,53,5485
160,5058,54,5640
161,4450,54,5634
162,3867,54,5590
163,4750,55,5694
164,4344,55,5710
165,4025,55,5740
166,9197,56,5861
167,8685,56,5794
168,7632,56,5864
169,14544,57,5940
170,6964,57,5915
171,4002,57,5945
172,5379,58,6018
173,4030,58,6007
174,4991,58,6010
175,3766,59,6109
176,4728,59,6110
177,3907,59,6113
178,5619,60,6218
179,4900,60,6236
180,7334,60,6218
181,6032,61,6387
182,5077,61,6413
183,8797,61,6313
184,8660,62,6469
185,6405,62,6469
186,4293,62,6476
187,9223,63,6576
188,5986,63,6575
189,6960,63,6578
190,4983,64,6675
191,5026,64,6631
192,5768,64,6684
193,5208,65,6756
194,4484,65,6787
195,4268,65,6756
196,4479,66,6882
197,4995,66,6893
198,4169,66,6864
199,4144,67,6996
200,3870,67,6991
201,4320,67,6967
202,6473,68,7044
203,4449,68,7073
204,5274,68,7046
205,4646,69,7174
206,6157,69,7153
207,3727,69,7165
208,4523,70,7254
209,4125,70,7260
210,3741,70,7279
211,7107,71,7357
212,3847,71,7384
213,5099,71,7390
214,5549,72,7546
215,7434,72,7548
216,4980,72,7517
217,5412,73,7599
218,4374,73,7611
219,3927,73,7651
220,4255,74,7710
221,3994,74,7758
222,4138,74,7736
223,3894,75,7846
224,4300,75,7772
225,3849,75,7799
226,4018,76,7882
227,3862,76,7907
228,4462,76,7903
229,4421,77,7999
230,4181,77,8036
231,4571,77,8080
232,5261,78,8168
233,4772,78,8130
234,4591,78,8154
235,4991,79,8231
236,4837,79,8229
237,4802,79,8262
238,5299,80,8366
239,5200,80,8335
240,4961,80,8332
241,4404,81,8459
242,4950,81,8454
243,4577,81,8458
244,4403,82,8560
245,4804,82,8559
246,5232,82,8524
247,4410,83,8605
248,4196,83,8629
249,4112,82,8547
250,4358,83,8676
251,4113,83,8678
252,3962,83,8637
253,6898,83,8673
254,4138,83,8631
255,6349,83,8663
256,5430,83,8650
257,4122,83,8632
258,4737,83,8679
259,5123,83,8590
260,4324,83,8681
261,3995,83,8643
262,6261,84,8723
263,4418,84,8725
264,5570,84,8787
265,5432,85,8850
266,5154,85,8821
267,5840,85,8898
268,5004,85,8855
269,5348,85,8827
270,4685,84,8759
271,4925,85,8869
272,4506,84,8769
273,4197,84,8739
274,4132,85,8874
275,4274,85,8832
276,5936,85,8905
277,4324,86,8984
278,4588,86,8943
279,3954,86,8993
280,4357,86,8997
281,4011,86,8939
282,4327,85,8888
283,4217,86,8965
284,4402,86,8916
285,4190,86,8960
286,4559,87,9081
287,4058,87,9048
288,4273,87,9078
289,4271,88,9132
290,4228,88,9117
291,3914,88,9144
292,4397,89,9291
293,4106,89,9280
294,4113,89,9250
295,4120,90,9339
296,8559,89,9257
297,9907,88,9161
298,5620,89,9265
299,5737,88,9179
300,4983,88,9200
301,4952,88,9182
302,4788,88,9267
303,4603,87,9177
304,4902,87,9095
305,6183,87,9115
306,7931,86,9009
307,6056,87,9087
308,6093,86,8995
309,5020,86,8992
310,11523,87,9078
311,7506,87,9128
312,5757,87,9051
313,8567,87,9109
314,5103,87,9099
315,4913,87,9089
316,5154,88,9237
317,5451,87,9091
318,4359,87,9093
319,4766,87,9065
320,6825,87,9027
321,4163,87,9047
322,5054,88,9145
323,4247,87,9042
324,4919,87,9027
325,4279,88,9153
326,5816,88,9157
327,4497,88,9161
328,4813,89,9262
329,4481,89,9244
330,4497,89,9264
331,4556,90,9348
332,4519,90,9362
333,4513,90,9362
334,4833,91,9494
335,5243,91,9554
336,4191,90,9478
337,4642,90,9425
338,4593,90,9387
339,4604,89,9306
340,4480,90,9395
341,4260,89,9303
342,4087,89,9298
343,4373,89,9264
344,4210,89,9284
345,7968,89,9316
346,4790,90,9404
347,4223,90,9408
348,4036,89,9304
349,7167,89,9305
350,4412,89,9319
351,4611,88,9165
352,4917,89,9246
353,4652,88,9229
354,5123,88,9230
355,5254,88,9185
356,5098,87,9085
357,4233,87,9131
358,4763,87,9115
359,4892,87,9098
360,5040,86,9015
361,5594,87,9044
362,5043,86,8991
363,5851,85,8854
364,4400,86,8974
365,4017,85,8841
366,4082,85,8922
367,4244,85,8841
368,4501,85,8890
369,4017,84,8812
370,4135,85,8852
371,7494,85,8867
372,4137,85,8933
373,4247,86,9024
374,4210,86,8984
375,3937,86,9029
376,4333,86,9033
377,4447,86,8952
378,4662,85,8905
379,4495,86,8962
380,4554,85,8919
381,4355,85,8891
382,4630,85,8882
383,4280,85,8910
384,4604,84,8757
385,4744,85,8866
386,4548,85,8866
387,4680,85,8938
388,4460,85,8924
389,4333,85,8916
390,4244,84,8834
391,4644,85,8876
392,4509,85,8925
393,4398,85,8920
394,4769,86,8961
395,4355,86,8959
396,4386,85,8943
397,4145,86,8958
398,4269,86,9029
399,4090,86,9014
400,4151,87,9089
401,5177,87,9134
402,4463,87,9061
403,4960,88,9203
404,5322,88,9205
405,6731,88,9183
406,8711,88,9169
407,4696,88,9230
408,5325,87,9080
409,5045,88,9227
410,4913,88,9230
411,4806,88,9200
412,5081,89,9295
413,4893,89,9336
414,4896,89,9298
415,4960,90,9403
416,5522,90,9426
417,5104,90,9406
418,5074,91,9543
419,5453,90,9497
420,5310,90,9447
421,5463,90,9447
422,5162,90,9448
423,4162,89,9359
424,4676,89,9339
425,5287,89,9307
426,5116,88,9274
427,5327,89,9355
428,5384,88,9255
429,5155,88,9253
430,5313,88,9200
431,4996,88,9244
432,5270,88,9250
433,5282,88,9251
434,5029,88,9263
435,5014,88,9192
436,5082,89,9347
437,4988,88,9267
438,4998,88,9196
439,4619,89,9379
440,4699,88,9252
441,4463,88,9201
442,4955,89,9363
443,8218,88,9254
444,4546,88,9231
445,4908,89,9308
446,4721,89,9287
447,5584,89,9371
448,4497,90,9470
449,4999,90,9407
450,4801,90,9471
451,4874,91,9496
452,5316,91,9542
453,5089,91,9587
454,5800,92,9588
455,5764,92,9598
456,5105,92,9657
457,4641,93,9763
458,4405,93,9760
459,4701,93,9776
460,5018,94,9842
461,5060,94,9800
462,5308,94,9833
463,5561,94,9854
464,4885,94,9844
465,4691,93,9774
466,4538,94,9846
467,4566,93,9726
468,4966,92,9675
469,4805,93,9688
470,5268,92,9631
471,4643,92,9673
472,5001,92,9609
473,4797,91,9531
474,5774,91,9525
475,5429,91,9532
476,4491,91,9535
477,4835,90,9425
478,4689,90,9445
479,5400,90,9439
480,4881,89,9310
481,9576,90,9473
482,5252,89,9342
483,5485,88,9208
484,4551,89,9353
485,5519,88,9261
486,4894,88,9205
487,4572,88,9211
488,4633,88,9251
489,5029,87,9080
490,4780,87,9100
491,4940,87,9135
492,4540,86,9048
493,5152,87,9076
494,4982,86,9055
495,4828,85,8962
496,5495,86,9056
497,5059,85,8957
498,5014,85,8903
499,4744,85,8956
500,4135,85,8959
501,4192,84,8799
502,4184,85,8954
503,4263,84,8822
504,4684,83,8716
505,4370,84,8838
506,3732,83,8751
507,3941,83,8687
508,4009,83,8741
509,4144,83,8751
510,3988,83,8711
511,3986,84,8814
512,4597,84,8818
513,4260,84,8860
514,4025,85,8950
515,4440,85,8885
516,4371,85,8949
517,4268,86,9053
518,4839,85,8905
519,4084,85,8956
520,4376,86,9029
521,3885,86,9046
522,4712,86,9034
523,4192,87,9135
524,3953,87,9166
525,4138,87,9114
526,4099,88,9267
527,4497,88,9292
528,4509,87,9121
529,4462,88,9301
530,3787,87,9155
531,3743,87,9147
532,4340,87,9126
533,4222,87,9109
534,3831,86,9026
535,4174,87,9171
536,3853,86,9039
537,3993,85,8954
