Time,VehicleID,OMNeT_X,OMNeT_Y,OMNeT_Z,Speed,Acceleration,Length,Width,Height,Signals,Type
1,flow0.0,646845,5.49324e+06,0,13.986,0.341189,2.5,1.8,1.5,0,vtype0
2,flow0.0,646835,5.49323e+06,0,13.9191,-0.181593,2.5,1.8,1.5,2,vtype0
3,flow0.0,646825,5.49322e+06,0,13.9161,-0.636662,2.5,1.8,1.5,2,vtype0
4,flow0.0,646816,5.49321e+06,0,13.9043,0.0854931,2.5,1.8,1.5,2,vtype0
4,flow0.1,646845,5.49324e+06,0,13.9199,-0.337196,2.5,1.8,1.5,0,vtype0
5,flow0.0,646806,5.4932e+06,0,13.9127,-0.540404,2.5,1.8,1.5,2,vtype0
5,flow0.1,646835,5.49323e+06,0,13.9038,0.0620736,2.5,1.8,1.5,2,vtype0
6,flow0.0,646796,5.49319e+06,0,13.8714,-0.758254,2.5,1.8,1.5,2,vtype0
6,flow0.1,646825,5.49322e+06,0,13.9525,0.448393,2.5,1.8,1.5,2,vtype0
7,flow0.0,646786,5.49318e+06,0,13.957,-0.10644,2.5,1.8,1.5,2,vtype0
7,flow0.1,646816,5.49321e+06,0,13.9272,-0.48226,2.5,1.8,1.5,2,vtype0
7,flow0.2,646845,5.49324e+06,0,13.8903,-0.583057,2.5,1.8,1.5,0,vtype0
8,flow0.0,646777,5.49317e+06,0,13.9924,0.526595,2.5,1.8,1.5,2,vtype0
8,flow0.1,646806,5.4932e+06,0,13.947,0.383913,2.5,1.8,1.5,2,vtype0
8,flow0.2,646835,5.49323e+06,0,13.975,0.250665,2.5,1.8,1.5,2,vtype0
9,flow0.0,646774,5.49315e+06,0,13.9901,-0.0372135,2.5,1.8,1.5,0,vtype0
9,flow0.1,646796,5.49319e+06,0,13.8902,-0.239743,2.5,1.8,1.5,2,vtype0
9,flow0.2,646825,5.49322e+06,0,13.9156,-0.432766,2.5,1.8,1.5,2,vtype0
10,flow0.0,646782,5.49314e+06,0,13.8841,0.081746,2.5,1.8,1.5,0,vtype0
10,flow0.1,646786,5.49318e+06,0,13.9641,-0.327391,2.5,1.8,1.5,2,vtype0
10,flow0.2,646816,5.49321e+06,0,13.8964,0.0407572,2.5,1.8,1.5,2,vtype0
10,flow0.3,646845,5.49324e+06,0,13.9837,0.749234,2.5,1.8,1.5,0,vtype0
11,flow0.0,646793,5.49313e+06,0,13.9326,0.200661,2.5,1.8,1.5,0,vtype0
11,flow0.1,646777,5.49317e+06,0,13.9944,1.12679,2.5,1.8,1.5,2,vtype0
11,flow0.2,646806,5.4932e+06,0,13.9631,0.277479,2.5,1.8,1.5,2,vtype0
11,flow0.3,646835,5.49323e+06,0,13.8938,-0.182222,2.5,1.8,1.5,2,vtype0
12,flow0.0,646804,5.49313e+06,0,13.8982,-0.0620572,2.5,1.8,1.5,0,vtype0
12,flow0.1,646774,5.49315e+06,0,13.9585,-0.325023,2.5,1.8,1.5,0,vtype0
12,flow0.2,646796,5.49319e+06,0,13.9608,-0.0323426,2.5,1.8,1.5,2,vtype0
12,flow0.3,646825,5.49322e+06,0,13.9636,0.865763,2.5,1.8,1.5,2,vtype0
13,flow0.0,646818,5.49312e+06,0,13.9669,-0.0202641,2.5,1.8,1.5,0,vtype0
13,flow0.1,646782,5.49314e+06,0,13.9646,0.263215,2.5,1.8,1.5,0,vtype0
13,flow0.2,646786,5.49318e+06,0,13.8728,-0.71499,2.5,1.8,1.5,2,vtype0
13,flow0.3,646816,5.49321e+06,0,13.9541,-0.167405,2.5,1.8,1.5,2,vtype0
13,flow0.4,646846,5.49324e+06,0,12.1899,0.0560921,2.5,1.8,1.5,0,vtype0
