SimulationTime(s),RTT(us),VehicleCount,PayloadSize(Bytes)
1,4579,1,102
2,578,1,104
3,395,1,104
4,537,2,206
5,676,2,208
6,431,2,208
7,1248,3,310
8,486,3,312
9,677,3,314
10,854,4,413
11,564,4,415
12,580,4,417
13,1451,5,518
14,1283,5,518
15,723,5,520
16,902,6,623
17,672,6,625
18,708,6,626
19,1050,7,727
20,1540,7,727
21,1467,7,747
22,1142,8,833
23,833,8,832
24,1295,8,850
25,1316,9,931
26,1680,9,935
27,1700,9,953
28,2614,10,1039
29,1469,10,1040
30,2138,10,1038
31,1523,11,1142
32,1502,11,1164
33,1987,11,1145
34,2822,12,1263
35,1710,12,1246
36,1935,12,1246
37,2269,13,1368
38,2073,13,1345
39,2364,13,1352
40,2203,14,1452
41,2458,14,1455
42,1511,14,1461
43,2582,15,1562
44,2448,15,1560
45,2043,15,1560
46,1263,16,1666
47,1279,16,1681
48,1211,16,1663
49,1456,17,1785
50,1371,17,1763
51,1136,17,1767
52,1437,18,1888
53,1237,18,1863
54,1005,18,1866
55,1272,19,1986
56,1382,19,1966
57,1982,19,1988
58,2112,20,2069
59,1759,20,2069
60,1913,20,2092
61,1515,21,2172
62,3382,21,2177
63,2183,21,2189
64,1596,22,2276
65,1537,22,2277
66,1635,22,2288
67,1714,23,2375
68,2970,23,2378
69,2456,23,2376
70,3072,24,2477
71,2391,24,2481
72,1603,24,2481
73,1584,25,2584
74,1675,25,2591
75,1915,25,2611
76,1978,26,2692
77,1976,26,2693
78,1653,26,2711
79,1882,27,2791
80,1756,27,2816
81,1652,27,2796
82,1658,28,2896
83,1606,28,2923
84,1799,28,2895
85,2101,29,3017
86,1894,29,3001
87,1713,29,3000
88,1851,30,3106
89,1653,30,3103
90,1671,30,3107
91,2200,31,3209
92,1660,31,3225
93,1817,31,3210
94,1902,32,3328
95,1947,32,3311
96,1753,32,3310
97,1740,33,3423
98,1643,33,3421
99,1466,33,3417
100,1840,34,3525
101,1681,34,3523
102,1726,34,3546
103,2133,35,3627
104,1730,35,3632
105,1771,35,3646
106,1782,36,3730
107,2322,36,3739
108,1771,36,3750
109,2291,37,3836
110,2195,37,3840
111,2325,37,3854
112,1930,38,3938
113,2556,38,3942
114,1784,38,3940
115,2093,39,4045
116,2048,39,4043
117,2030,39,4044
118,2312,40,4146
119,2428,40,4145
120,2000,40,4145
121,2456,41,4252
122,2305,41,4251
123,2349,41,4274
124,2174,42,4352
125,2208,42,4352
126,2191,42,4370
127,2683,43,4448
128,3233,43,4449
129,3245,43,4448
130,2283,44,4558
131,2620,44,4569
132,2258,44,4546
133,2576,45,4678
134,2441,45,4645
135,2508,45,4654
136,2591,46,4759
137,2239,46,4754
138,2461,46,4758
139,3317,47,4859
140,2311,47,4876
141,3433,47,4859
142,6276,48,4981
143,3719,48,4961
144,2778,48,4963
145,3441,49,5084
146,6236,49,5068
