SimulationTime(s),RTT(us),VehicleCount
1,1191,1
2,364,1
3,390,1
4,461,2
5,377,2
6,345,2
7,469,3
8,403,3
9,421,3
10,539,4
11,447,4
12,485,4
13,531,5
14,801,5
15,530,5
16,607,6
17,623,6
18,487,6
19,837,7
20,656,7
21,566,7
22,640,8
23,543,8
24,612,8
25,692,9
26,609,9
27,678,9
28,766,10
29,679,10
30,656,10
31,676,11
32,669,11
33,674,11
34,715,12
35,647,12
36,646,12
37,743,13
38,787,13
39,666,13
40,894,14
41,678,14
42,656,14
43,821,15
44,823,15
45,811,15
46,831,16
47,838,16
48,875,16
49,927,17
50,823,17
51,767,17
52,953,18
53,912,18
54,796,18
55,1109,19
56,987,19
57,871,19
58,1113,20
59,1073,20
60,914,20
61,1000,21
62,881,21
63,999,21
64,1094,22
65,1038,22
66,1018,22
67,1050,23
68,1011,23
69,961,23
70,1094,24
71,1638,24
72,1041,24
73,1262,25
74,1210,25
75,1188,25
76,1265,26
77,1187,26
78,1304,26
79,1560,27
80,1371,27
81,1237,27
82,1291,28
83,1203,28
84,1359,28
85,1383,29
86,1455,29
87,1543,29
88,1577,30
89,1371,30
90,3170,30
91,1528,31
92,1462,31
93,1318,31
94,1503,32
95,1721,32
96,1584,32
97,1984,33
98,1837,33
99,1597,33
100,1738,34
101,1593,34
102,1478,34
103,1785,35
104,1641,35
105,1575,35
106,1605,36
107,1527,36
108,1533,36
109,1870,37
110,1781,37
111,1716,37
112,1919,38
113,1591,38
114,1897,38
115,1833,39
116,1631,39
117,1794,39
118,1802,40
119,2331,40
120,1720,40
121,1778,41
122,1794,41
123,1727,41
124,2079,42
125,1959,42
126,1840,42
127,1968,43
128,1972,43
129,2001,43
130,1980,44
131,2150,44
132,1975,44
133,2082,45
134,2219,45
135,1843,45
136,1983,46
137,2100,46
138,1963,46
139,2768,47
140,2079,47
141,2216,47
142,2219,48
143,2156,48
144,2180,48
145,2353,49
146,2283,49
147,2064,49
148,2559,50
149,2463,50
150,2228,50
151,2351,51
152,2547,51
153,2442,51
154,2470,52
155,2443,52
156,2607,52
157,2935,53
158,2576,53
159,2447,53
160,3096,54
161,2449,54
162,2607,54
