Time,VehicleID,OMNeT_X,OMNeT_Y,OMNeT_Z,Speed,Acceleration,Length,Width,Height,Signals,Type
1,flow0.0,646845,5.49324e+06,0,13.9509,-0.462643,2.5,1.8,1.5,0,vtype0
2,flow0.0,646835,5.49323e+06,0,13.9597,0.0197443,2.5,1.8,1.5,2,vtype0
3,flow0.0,646825,5.49322e+06,0,13.8818,-1.06674,2.5,1.8,1.5,2,vtype0
4,flow0.0,646816,5.49321e+06,0,13.9257,0.463616,2.5,1.8,1.5,2,vtype0
4,flow0.1,646845,5.49324e+06,0,13.9783,-0.0693708,2.5,1.8,1.5,0,vtype0
5,flow0.0,646806,5.4932e+06,0,13.94,0.352222,2.5,1.8,1.5,2,vtype0
5,flow0.1,646835,5.49323e+06,0,13.9977,0.238802,2.5,1.8,1.5,2,vtype0
6,flow0.0,646796,5.49319e+06,0,13.9438,0.47413,2.5,1.8,1.5,2,vtype0
6,flow0.1,646825,5.49322e+06,0,13.9753,0.969295,2.5,1.8,1.5,2,vtype0
7,flow0.0,646786,5.49318e+06,0,13.9142,-0.184585,2.5,1.8,1.5,2,vtype0
7,flow0.1,646816,5.49321e+06,0,13.9548,-0.156423,2.5,1.8,1.5,2,vtype0
7,flow0.2,646846,5.49324e+06,0,13.1443,0.660952,2.5,1.8,1.5,0,vtype0
8,flow0.0,646777,5.49317e+06,0,13.9705,-0.20531,2.5,1.8,1.5,2,vtype0
8,flow0.1,646806,5.4932e+06,0,13.9211,0.46472,2.5,1.8,1.5,2,vtype0
8,flow0.2,646836,5.49323e+06,0,13.1135,0.113576,2.5,1.8,1.5,0,vtype0
9,flow0.0,646774,5.49315e+06,0,13.9122,0.338743,2.5,1.8,1.5,0,vtype0
9,flow0.1,646796,5.49319e+06,0,13.8908,-0.133708,2.5,1.8,1.5,2,vtype0
9,flow0.2,646827,5.49322e+06,0,13.1735,0.145905,2.5,1.8,1.5,2,vtype0
10,flow0.0,646782,5.49314e+06,0,13.9226,-0.0569147,2.5,1.8,1.5,0,vtype0
10,flow0.1,646786,5.49318e+06,0,13.9399,0.178957,2.5,1.8,1.5,2,vtype0
10,flow0.2,646818,5.49321e+06,0,13.0826,-1.17592,2.5,1.8,1.5,2,vtype0
10,flow0.3,646846,5.49324e+06,0,12.5132,0.148528,2.5,1.8,1.5,0,vtype0
11,flow0.0,646793,5.49313e+06,0,13.9617,0.549372,2.5,1.8,1.5,0,vtype0
11,flow0.1,646777,5.49317e+06,0,13.9614,-0.348182,2.5,1.8,1.5,2,vtype0
